County,Total population,White Number,White perc,White median income,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,other race,Hispanic or Latino origin (of any race)
        Estimate,"41,957","45,052",,,"26,754","25,866","53,742","30,692","22,112","21,875"
"Lake County, Tennessee",,,,,,,,,,
    Number,,,,,,,,,,
        Estimate,"6,691","4,425",,,"1,493",73,17,18,102,295
    Percent Distribution,,,,,,,,,,
        Estimate,"6,691",66.10%,,,22.30%,1.10%,0.30%,0.30%,1.50%,4.40%
    Mean income (dollars),,,,,,,,,,
        Estimate,"16,275","19,811",,,"9,817",N,N,-,"10,035","22,369"
"Lauderdale County, Tennessee",,,,,,,,,,
    Number,,,,,,,,,,
        Estimate,"24,933","14,891",,,"8,461",84,178,0,272,652
    Percent Distribution,,,,,,,,,,
        Estimate,"24,933",59.70%,,,33.90%,0.30%,0.70%,0.00%,1.10%,2.60%
    Mean income (dollars),,,,,,,,,,
        Estimate,"25,716","30,211",,,"19,416","13,164","21,576",-,"21,959","20,552"
"Lawrence County, Tennessee",,,,,,,,,,
    Number,,,,,,,,,,
        Estimate,"44,901","41,952",,,595,8,106,0,237,"1,202"
    Percent Distribution,,,,,,,,,,
        Estimate,"44,901",93.40%,,,1.30%,0.00%,0.20%,0.00%,0.50%,2.70%
    Mean income (dollars),,,,,,,,,,
        Estimate,"27,208","27,816",,,"14,339","23,700","34,018",-,"10,377","24,962"
"Lewis County, Tennessee",,,,,,,,,,
    Number,,,,,,,,,,
        Estimate,"12,784","11,927",,,100,0,106,0,53,372
    Percent Distribution,,,,,,,,,,
        Estimate,"12,784",93.30%,,,0.80%,0.00%,0.80%,0.00%,0.40%,2.90%
    Mean income (dollars),,,,,,,,,,
        Estimate,"29,149","29,371",,,"19,569",-,"10,894",-,"19,489","26,713"
"Lincoln County, Tennessee",,,,,,,,,,
    Number,,,,,,,,,,
        Estimate,"35,617","30,956",,,"2,052",28,228,0,349,"1,393"
    Percent Distribution,,,,,,,,,,
        Estimate,"35,617",86.90%,,,5.80%,0.10%,0.60%,0.00%,1.00%,3.90%
    Mean income (dollars),,,,,,,,,,
        Estimate,"34,761","36,232",,,"30,322","85,786","20,542",-,"27,630","19,908"
"Loudon County, Tennessee",,,,,,,,,,
    Number,,,,,,,,,,
        Estimate,"56,996","50,404",,,787,39,528,0,747,"5,708"
    Percent Distribution,,,,,,,,,,
        Estimate,"56,996",88.40%,,,1.40%,0.10%,0.90%,0.00%,1.30%,10.00%
    Mean income (dollars),,,,,,,,,,
        Estimate,"42,817","45,316",,,"38,039","20,941","18,309",-,"27,445","23,006"
"McMinn County, Tennessee",,,,,,,,,,
    Number,,,,,,,,,,
        Estimate,"54,135","48,323",,,"1,699",32,433,0,329,"2,369"
    Percent Distribution,,,,,,,,,,
        Estimate,"54,135",89.30%,,,3.10%,0.10%,0.80%,0.00%,0.60%,4.40%
    Mean income (dollars),,,,,,,,,,
        Estimate,"30,669","31,452",,,"29,138","12,797","47,905",-,"20,769","17,605"
"McNairy County, Tennessee",,,,,,,,,,
    Number,,,,,,,,,,
        Estimate,"25,933","23,579",,,"1,363",66,120,0,60,520
    Percent Distribution,,,,,,,,,,
        Estimate,"25,933",90.90%,,,5.30%,0.30%,0.50%,0.00%,0.20%,2.00%
    Mean income (dollars),,,,,,,,,,
        Estimate,"26,747","27,586",,,"26,314","11,176",-,-,"12,840","19,647"
"Macon County, Tennessee",,,,,,,,,,
    Number,,,,,,,,,,
        Estimate,"25,793","23,300",,,216,17,12,0,407,"1,751"
    Percent Distribution,,,,,,,,,,
        Estimate,"25,793",90.30%,,,0.80%,0.10%,0.00%,0.00%,1.60%,6.80%
    Mean income (dollars),,,,,,,,,,
        Estimate,"27,065","28,302",,,"1,219","48,988",N,-,"11,303","10,027"
"Madison County, Tennessee",,,,,,,,,,
    Number,,,,,,,,,,
        Estimate,"98,845","53,868",,,"36,151",219,998,87,"2,870","4,920"
    Percent Distribution,,,,,,,,,,
        Estimate,"98,845",54.50%,,,36.60%,0.20%,1.00%,0.10%,2.90%,5.00%
    Mean income (dollars),,,,,,,,,,
        Estimate,"32,221","40,103",,,"22,554","37,212","39,721",N,"16,120","18,643"
"Marion County, Tennessee",,,,,,,,,,
    Number,,,,,,,,,,
        Estimate,"29,010","26,483",,,817,34,90,0,364,672
    Percent Distribution,,,,,,,,,,
        Estimate,"29,010",91.30%,,,2.80%,0.10%,0.30%,0.00%,1.30%,2.30%
    Mean income (dollars),,,,,,,,,,
