county,median_income,hispanic_pct,black_pct,poverty_pct,ba_plus_pct,county_fips,year,urban_rural
Hawkins,55278,1.1,0.2,17.1,16.8,47073,2023,Rural
Haywood,43513,1,0.1,22.8,13.1,47075,2023,Rural
Henderson,53471,0.8,0.1,16.8,14.4,47077,2023,Rural
Henry,48540,1.2,0.2,18.3,18.6,47079,2023,Rural
Hickman,57223,2.5,0.1,14.1,13.6,47081,2023,Rural
Houston,54475,1.4,1,13.8,13.7,47083,2023,Rural
Humphreys,59333,1.1,0.2,13.7,16.4,47085,2023,Rural
Jackson,41475,1.6,0,20.7,13.5,47087,2023,Rural
Jefferson,63084,1.1,0.3,11.5,21,47089,2023,Rural
Johnson,52152,4.1,0.1,22.1,15.7,47091,2023,Rural
Lake,30500,3.5,0.3,32.3,9.4,47095,2023,Rural
Lauderdale,49205,1.1,0.2,18.7,10.9,47097,2023,Rural
Lawrence,53233,1.3,0.3,15.3,15.5,47099,2023,Rural
Lewis,49477,2.9,0.9,15.9,10.9,47101,2023,Rural
Lincoln,63115,1.9,0.3,12.4,19.3,47103,2023,Rural
McMinn,59674,1.4,0.2,13.3,17.5,47107,2023,Rural
McNairy,50714,1.1,0.2,16.1,11.8,47109,2023,Rural
Macon,56269,0.9,0.3,15.2,11.8,47111,2023,Rural
Marion,58103,2,0.1,16.9,16.5,47115,2023,Rural
Marshall,70829,1.5,0,14.2,21,47117,2023,Rural
Maury,74162,1.2,0.9,9.9,26.5,47119,2023,Rural
Meigs,58395,2,0.1,14.3,12,47121,2023,Rural
Monroe,56648,1.7,0.4,16.1,15.8,47123,2023,Rural
Moore,66687,1.5,0.3,11.3,24.7,47127,2023,Rural
Morgan,57408,1.1,0.2,18.8,13.7,47129,2023,Rural
Obion,53102,0.9,0.2,17,18.1,47131,2023,Rural
Overton,46159,1.1,0.1,18,13.5,47133,2023,Rural
Perry,50489,1.5,0,17.7,12.7,47135,2023,Rural
Pickett,44591,2.4,0,25.8,17.2,47137,2023,Rural
Polk,60227,1.5,0.2,13.3,14.7,47139,2023,Rural
Putnam,56537,1.6,0.6,16.9,29.2,47141,2023,Rural
Rhea,58133,1.8,0.1,15.3,17.4,47143,2023,Rural
Roane,66218,1.7,0.2,12.7,22,47145,2023,Rural
Robertson,78439,1.2,0.6,10.2,21.1,47147,2023,Rural
Scott,42679,2,0.1,24.9,10.2,47151,2023,Rural
Sequatchie,52260,1.4,0.5,23.6,18.9,47153,2023,Rural
Sevier,63829,1.2,0.5,13.6,21.4,47155,2023,Rural
Smith,62799,1.2,0.1,13.3,17.9,47159,2023,Rural
Stewart,62052,1.9,0,12,16.2,47161,2023,Rural
Tipton,71736,1.3,0.3,11.6,18.5,47167,2023,Rural
Trousdale,63190,1.9,0.1,10.3,10.1,47169,2023,Rural
Unicoi,50381,1.5,0.2,14.2,20,47171,2023,Rural
Union,61858,1.3,1.2,13.9,14.5,47173,2023,Rural
Warren,54088,1,0.4,15.3,15.1,47177,2023,Rural
Wayne,52824,3.4,0.1,18.5,12.5,47181,2023,Rural
Weakley,49502,0.9,0.4,19.3,21.6,47183,2023,Rural
White,52206,2.2,0.5,14.7,14.2,47185,2023,Rural
