County,Total population,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,other race,Hispanic or Latino origin (of any race)
        Estimate,"31,438","34,500","28,099","34,116","31,780","22,332","23,059","24,231"
"Moore County, Tennessee",,,,,,,,
    Number,,,,,,,,
        Estimate,"6,558","6,065",240,33,60,1,21,31
    Percent Distribution,,,,,,,,
        Estimate,"6,558",92.50%,3.70%,0.50%,0.90%,0.00%,0.30%,0.50%
    Mean income (dollars),,,,,,,,
        Estimate,"35,178","36,417","9,384","32,858",N,N,"30,286","29,032"
"Morgan County, Tennessee",,,,,,,,
    Number,,,,,,,,
        Estimate,"21,124","19,222","1,037",54,42,12,147,347
    Percent Distribution,,,,,,,,
        Estimate,"21,124",91.00%,4.90%,0.30%,0.20%,0.10%,0.70%,1.60%
    Mean income (dollars),,,,,,,,
        Estimate,"27,320","29,206","2,548","24,789",N,-,N,"5,363"
"Obion County, Tennessee",,,,,,,,
    Number,,,,,,,,
        Estimate,"30,670","25,083","3,235",42,67,27,419,"1,562"
    Percent Distribution,,,,,,,,
        Estimate,"30,670",81.80%,10.50%,0.10%,0.20%,0.10%,1.40%,5.10%
    Mean income (dollars),,,,,,,,
        Estimate,"28,782","31,535","17,798","18,681","46,769",N,"21,414","14,364"
"Overton County, Tennessee",,,,,,,,
    Number,,,,,,,,
        Estimate,"22,576","21,731",283,32,57,9,15,419
    Percent Distribution,,,,,,,,
        Estimate,"22,576",96.30%,1.30%,0.10%,0.30%,0.00%,0.10%,1.90%
    Mean income (dollars),,,,,,,,
        Estimate,"29,556","29,977","10,070","39,606","22,798",-,N,"19,865"
"Perry County, Tennessee",,,,,,,,
    Number,,,,,,,,
        Estimate,"8,432","7,700",30,44,186,0,52,85
    Percent Distribution,,,,,,,,
        Estimate,"8,432",91.30%,0.40%,0.50%,2.20%,0.00%,0.60%,1.00%
    Mean income (dollars),,,,,,,,
        Estimate,"30,870","31,952",N,N,"12,996",-,N,N
"Pickett County, Tennessee",,,,,,,,
    Number,,,,,,,,
        Estimate,"5,042","4,832",14,0,0,0,29,112
    Percent Distribution,,,,,,,,
        Estimate,"5,042",95.80%,0.30%,0.00%,0.00%,0.00%,0.60%,2.20%
    Mean income (dollars),,,,,,,,
        Estimate,"27,259","27,500",N,-,-,-,N,"14,502"
"Polk County, Tennessee",,,,,,,,
    Number,,,,,,,,
        Estimate,"17,620","16,164",72,51,37,0,108,394
    Percent Distribution,,,,,,,,
        Estimate,"17,620",91.70%,0.40%,0.30%,0.20%,0.00%,0.60%,2.20%
    Mean income (dollars),,,,,,,,
        Estimate,"30,400","30,870","18,010","52,263","58,281",-,"18,800","19,398"
"Putnam County, Tennessee",,,,,,,,
    Number,,,,,,,,
        Estimate,"80,157","71,995","1,782",166,841,0,"1,740","5,397"
    Percent Distribution,,,,,,,,
        Estimate,"80,157",89.80%,2.20%,0.20%,1.00%,0.00%,2.20%,6.70%
