"Label (Grouping)","PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population","PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race--!!White","PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race--!!Black or African American","PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race--!!American Indian and Alaska Native","PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race--!!Asian","PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race--!!Native Hawaiian and Other Pacific Islander","PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race--!!Some other race","PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!Hispanic or Latino origin (of any race)"
"        Estimate","28,679","92.7%","3.2%","0.0%","0.4%","0.0%","0.6%","2.0%"
"    Mean income (dollars)","","","","","","","",""
"        Estimate","27,441","27,589","24,181","N","28,665","-","40,659","20,282"
"Marshall County, Tennessee","","","","","","","",""
"    Number","","","","","","","",""
"        Estimate","33,909","30,376","1,773","94","156","0","406","1,959"
"    Percent Distribution","","","","","","","",""
"        Estimate","33,909","89.6%","5.2%","0.3%","0.5%","0.0%","1.2%","5.8%"
"    Mean income (dollars)","","","","","","","",""
"        Estimate","28,184","29,520","16,971","17,033","32,224","-","5,195","14,293"
"Maury County, Tennessee","","","","","","","",""
"    Number","","","","","","","",""
"        Estimate","99,011","81,541","11,147","230","976","20","423","6,309"
"    Percent Distribution","","","","","","","",""
"        Estimate","99,011","82.4%","11.3%","0.2%","1.0%","0.0%","0.4%","6.4%"
"    Mean income (dollars)","","","","","","","",""
"        Estimate","32,987","34,373","28,385","28,425","43,908","N","17,456","20,724"
"Meigs County, Tennessee","","","","","","","",""
"    Number","","","","","","","",""
"        Estimate","12,622","11,651","321","43","18","0","72","297"
"    Percent Distribution","","","","","","","",""
"        Estimate","12,622","92.3%","2.5%","0.3%","0.1%","0.0%","0.6%","2.4%"
"    Mean income (dollars)","","","","","","","",""
"        Estimate","25,670","25,815","18,913","37,035","N","-","30,486","25,215"
"Monroe County, Tennessee","","","","","","","",""
"    Number","","","","","","","",""
"        Estimate","46,041","42,169","993","68","165","0","504","2,055"
"    Percent Distribution","","","","","","","",""
"        Estimate","46,041","91.6%","2.2%","0.1%","0.4%","0.0%","1.1%","4.5%"
"    Mean income (dollars)","","","","","","","",""
"        Estimate","24,921","24,672","20,281","384,915","63,878","-","21,582","16,263"
"Montgomery County, Tennessee","","","","","","","",""
"    Number","","","","","","","",""
"        Estimate","216,172","145,122","42,838","891","4,844","618","4,388","22,708"
"    Percent Distribution","","","","","","","",""
"        Estimate","216,172","67.1%","19.8%","0.4%","2.2%","0.3%","2.0%","10.5%"
"    Mean income (dollars)","","","","","","","",""
"        Estimate","29,379","31,976","26,976","34,965","27,590","26,670","18,681","22,214"
"Moore County, Tennessee","","","","","","","",""
"    Number","","","","","","","",""
"        Estimate","6,481","6,003","109","51","209","1","11","11"
"    Percent Distribution","","","","","","","",""
"        Estimate","6,481","92.6%","1.7%","0.8%","3.2%","0.0%","0.2%","0.2%"
"    Mean income (dollars)","","","","","","","",""
"        Estimate","31,277","32,577","16,739","13,157","9,412","N","23,945","23,945"
